sample.ID \\ Descriptors	SRA.ID.s.	label	genotype	temperature	doxycycline
GSM8919375	SRR33167271	tetO-YSF3-ysf3delta 37C -DOX	tetO-YSF3/ysf3delta	37	-DOX
GSM8919374	SRR33167272	tetO-YSF3-ysf3delta 37C -DOX	tetO-YSF3/ysf3delta	37	-DOX
GSM8919373	SRR33167273	tetO-YSF3-ysf3delta 37C +DOX	tetO-YSF3/ysf3delta	37	+DOX
GSM8919376	SRR33167274	tetO-YSF3-ysf3delta 37C -DOX	tetO-YSF3/ysf3delta	37	-DOX
GSM8919372	SRR33167275	tetO-YSF3-ysf3delta 37C +DOX	tetO-YSF3/ysf3delta	37	+DOX
GSM8919371	SRR33167276	tetO-YSF3-ysf3delta 37C +DOX	tetO-YSF3/ysf3delta	37	+DOX
GSM8919370	SRR33167277	tetO-YSF3-ysf3delta 22C -DOX	tetO-YSF3/ysf3delta	22	-DOX
GSM8919369	SRR33167278	tetO-YSF3-ysf3delta 22C -DOX	tetO-YSF3/ysf3delta	22	-DOX
GSM8919367	SRR33167279	tetO-YSF3-ysf3delta 22C +DOX	tetO-YSF3/ysf3delta	22	+DOX
GSM8919366	SRR33167280	tetO-YSF3-ysf3delta 22C +DOX	tetO-YSF3/ysf3delta	22	+DOX
GSM8919365	SRR33167281	tetO-YSF3-ysf3delta 22C +DOX	tetO-YSF3/ysf3delta	22	+DOX
GSM8919368	SRR33167282	tetO-YSF3-ysf3delta 22C -DOX	tetO-YSF3/ysf3delta	22	-DOX
GSM8919364	SRR33167283	wild-type 37C -DOX	wild-type	37	-DOX
GSM8919363	SRR33167284	wild-type 37C -DOX	wild-type	37	-DOX
GSM8919362	SRR33167285	wild-type 37C -DOX	wild-type	37	-DOX
GSM8919361	SRR33167286	wild-type 37C +DOX	wild-type	37	+DOX
GSM8919359	SRR33167287	wild-type 37C +DOX	wild-type	37	+DOX
GSM8919358	SRR33167288	wild-type 22C -DOX	wild-type	22	-DOX
GSM8919357	SRR33167289	wild-type 22C -DOX	wild-type	22	-DOX
GSM8919360	SRR33167290	wild-type 37C +DOX	wild-type	37	+DOX
GSM8919356	SRR33167291	wild-type 22C -DOX	wild-type	22	-DOX
GSM8919355	SRR33167292	wild-type 22C +DOX	wild-type	22	+DOX
GSM8919354	SRR33167293	wild-type 22C +DOX	wild-type	22	+DOX
GSM8919353	SRR33167294	wild-type 22C +DOX	wild-type	22	+DOX
