sample.ID \\ Descriptors	SRA.ID.s.	label	life_stage	growth_condition
Asexual_in_vitro_rep1	SRR8841041	Asexual in vitro exp1	Asexual	in vitro
Asexual_in_vitro_rep2	SRR8841042	Asexual in vitro exp1	Asexual	in vitro
Asexual_in_vitro_rep3	SRR8841043	Asexual in vitro exp1	Asexual	in vitro
Asexual_in_vitro_rep4	SRR8841044	Asexual in vitro exp1	Asexual	in vitro
Female_in_vitro_rep1	SRR8841045	Female in vitro exp1	Female	in vitro
Female_in_vitro_rep2	SRR8841046	Female in vitro exp1	Female	in vitro
Female_in_vitro_rep3	SRR8841047	Female in vitro exp1	Female	in vitro
Female_in_vitro_rep4	SRR8841048	Female in vitro exp1	Female	in vitro
Female_in_vivo_rep1	SRR8841049	Female in vivo exp1	Female	in vivo
Female_in_vivo_rep2	SRR8841050	Female in vivo exp1	Female	in vivo
Female_in_vivo_rep3	SRR8841051	Female in vivo exp1	Female	in vivo
Female_in_vivo_rep4	SRR8841052	Female in vivo exp1	Female	in vivo
Male_in_vivo_rep1	SRR24529997	Male in vivo exp1	Male	in vivo
Male_in_vivo_rep2	SRR24529996	Male in vivo exp1	Male	in vivo
Male_in_vivo_rep3	SRR24529995	Male in vivo exp1	Male	in vivo
Male_in_vivo_rep4	SRR24529994	Male in vivo exp1	Male	in vivo
Sporozoites_rep1	SRR8841053	Sporozoites exp1	Sporozoite	in vitro
Sporozoites_rep2	SRR8841054	Sporozoites exp1	Sporozoite	in vitro
Sporozoites_rep3	SRR8841055	Sporozoites exp1	Sporozoite	in vitro
24hr_rep1	SRR8841056	24hr exp1	Bulk mixed (24 h post-infection)	in vitro
24hr_rep2	SRR8841057	24hr exp1	Bulk mixed (24 h post-infection)	in vitro
24hr_rep3	SRR8841058	24hr exp1	Bulk mixed (24 h post-infection)	in vitro
48hr_rep1	SRR8841059	48hr exp1	Bulk mixed (48 h post-infection)	in vitro
48hr_rep2	SRR8841060	48hr exp1	Bulk mixed (48 h post-infection)	in vitro
48hr_rep3	SRR8841061	48hr exp1	Bulk mixed (48 h post-infection)	in vitro
