sample.ID \\ Descriptors	SRA.ID.s.	label	strain	treatment
Wien_I_untreated_rep1	SRR29159302	Wien I untreated	Wien I	untreated
Wien_I_untreated_rep2	SRR29159303	Wien I untreated	Wien I	untreated
Wien_I_untreated_rep3	SRR29159304	Wien I untreated	Wien I	untreated
Wien_I_untreated_rep4	SRR29159305	Wien I untreated	Wien I	untreated
Wien_I_untreated_rep5	SRR29159306	Wien I untreated	Wien I	untreated
Wien_I_untreated_rep6	SRR29159307	Wien I untreated	Wien I	untreated
Wien_I_untreated_rep7	SRR29159308	Wien I untreated	Wien I	untreated
Holland_I_toltrazuril_treatment_rep1	SRR29159309	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_toltrazuril_treatment_rep2	SRR29159310	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_toltrazuril_treatment_rep3	SRR29159311	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_toltrazuril_treatment_rep4	SRR29159312	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_toltrazuril_treatment_rep5	SRR29159313	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_toltrazuril_treatment_rep6	SRR29159314	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_toltrazuril_treatment_rep7	SRR29159315	Holland I toltrazuril treatment	Holland I	toltrazuril
Holland_I_untreated_rep1	SRR29159316	Holland I untreated	Holland I	untreated
Holland_I_untreated_rep2	SRR29159317	Holland I untreated	Holland I	untreated
Holland_I_untreated_rep3	SRR29159318	Holland I untreated	Holland I	untreated
Holland_I_untreated_rep4	SRR29159319	Holland I untreated	Holland I	untreated
Holland_I_untreated_rep5	SRR29159320	Holland I untreated	Holland I	untreated
Holland_I_untreated_rep6	SRR29159321	Holland I untreated	Holland I	untreated
Holland_I_untreated_rep7	SRR29159322	Holland I untreated	Holland I	untreated
