sample.ID \\ Descriptors	SRA.ID.s.	label	strain	timepoint
APU-2_48hr_rep1	SRR26671784	APU-2 48hr	APU-2	48
APU-2_48hr_rep2	SRR26671785	APU-2 48hr	APU-2	48
APU-2_48hr_rep3	SRR26671786	APU-2 48hr	APU-2	48
APU-2_36hr_rep1	SRR26671787	APU-2 36hr	APU-2	36
APU-2_36hr_rep2	SRR26671788	APU-2 36hr	APU-2	36
APU-2_36hr_rep3	SRR26671789	APU-2 36hr	APU-2	36
APU-2_24hr_rep1	SRR26671790	APU-2 24hr	APU-2	24
APU-2_24hr_rep2	SRR26671791	APU-2 24hr	APU-2	24
APU-2_24hr_rep3	SRR26671808	APU-2 24hr	APU-2	24
APU-2_18hr_rep1	SRR26671809	APU-2 18hr	APU-2	18
APU-2_18hr_rep2	SRR26671810	APU-2 18hr	APU-2	18
APU-2_18hr_rep3	SRR26671811	APU-2 18hr	APU-2	18
APU-2_12hr_rep1	SRR26671812	APU-2 12hr	APU-2	12
APU-2_12hr_rep2	SRR26671813	APU-2 12hr	APU-2	12
APU-2_12hr_rep3	SRR26671814	APU-2 12hr	APU-2	12
APU-2_6hr_rep1	SRR26671815	APU-2 6hr	APU-2	6
APU-2_6hr_rep2	SRR26671816	APU-2 6hr	APU-2	6
APU-2_6hr_rep3	SRR26671817	APU-2 6hr	APU-2	6
APU-2_0hr_rep1	SRR26671818	APU-2 0hr	APU-2	0
APU-2_0hr_rep2	SRR26671819	APU-2 0hr	APU-2	0
APU-2_0hr_rep3	SRR26671820	APU-2 0hr	APU-2	0
APU-1_48hr_rep1	SRR26671821	APU-1 48hr	APU-1	48
APU-1_48hr_rep2	SRR26671822	APU-1 48hr	APU-1	48
APU-1_48hr_rep3	SRR26671823	APU-1 48hr	APU-1	48
APU-1_36hr_rep1	SRR26671792	APU-1 36hr	APU-1	36
APU-1_36hr_rep2	SRR26671793	APU-1 36hr	APU-1	36
APU-1_36hr_rep3	SRR26671794	APU-1 36hr	APU-1	36
APU-1_24hr_rep1	SRR26671795	APU-1 24hr	APU-1	24
APU-1_24hr_rep2	SRR26671796	APU-1 24hr	APU-1	24
APU-1_24hr_rep3	SRR26671797	APU-1 24hr	APU-1	24
APU-1_18hr_rep1	SRR26671798	APU-1 18hr	APU-1	18
APU-1_18hr_rep2	SRR26671799	APU-1 18hr	APU-1	18
APU-1_18hr_rep3	SRR26671800	APU-1 18hr	APU-1	18
APU-1_12hr_rep1	SRR26671801	APU-1 12hr	APU-1	12
APU-1_12hr_rep2	SRR26671802	APU-1 12hr	APU-1	12
APU-1_12hr_rep3	SRR26671803	APU-1 12hr	APU-1	12
APU-1_6hr_rep1	SRR26671804	APU-1 6hr	APU-1	6
APU-1_6hr_rep2	SRR26671805	APU-1 6hr	APU-1	6
APU-1_6hr_rep3	SRR26671806	APU-1 6hr	APU-1	6
APU-1_0hr_rep1	SRR26671807	APU-1 0hr	APU-1	0
APU-1_0hr_rep2	SRR26671824	APU-1 0hr	APU-1	0
APU-1_0hr_rep3	SRR26671825	APU-1 0hr	APU-1	0
