sample.ID \\ Descriptors	SRA.ID.s.	label	day_post_inoculation	infection_status	liver_cell_fraction
SPZ_L1Pf8_Day0_Sporozoite	SRR22515999	SPZ_L1Pf8_Day0_Sporozoite	0	Sporozoite	L1
L3Pf8_Day6_Infected	SRR22516000	L3Pf8_Day6_Infected	6	Infected	L3
L2Pf6_Day6_Infected_rep1	SRR22516001	L2Pf6_Day6_Infected	6	Infected	L2
L2Pf6_Day6_Infected_rep2	SRR22516002	L2Pf6_Day6_Infected	6	Infected	L2
L1Pf6_Day6_Infected_rep1	SRR22516003	L1Pf6_Day6_Infected	6	Infected	L1
L1Pf6_Day6_Infected_rep2	SRR22516004	L1Pf6_Day6_Infected	6	Infected	L1
L3Pf7_Day6_Uninfected	SRR22516005	L3Pf7_Day6_Uninfected	6	Uninfected	L3
L2Pf5_Day6_Uninfected_rep1	SRR22516006	L2Pf5_Day6_Uninfected	6	Uninfected	L2
L2Pf5_Day6_Uninfected_rep2	SRR22516007	L2Pf5_Day6_Uninfected	6	Uninfected	L2
L1Pf5_Day6_Uninfected_rep1	SRR22516008	L1Pf5_Day6_Uninfected	6	Uninfected	L1
L1Pf5_Day6_Uninfected_rep2	SRR22516009	L1Pf5_Day6_Uninfected	6	Uninfected	L1
L3Pf6_Day5_Infected	SRR22516010	L3Pf6_Day5_Infected	5	Infected	L3
L2Pf6_Day5_Infected	SRR22516011	L2Pf6_Day5_Infected	5	Infected	L2
L1Pf9_Day5_Infected	SRR22516012	L1Pf9_Day5_Infected	5	Infected	L1
L3Pf5_Day5_Uninfected	SRR22516013	L3Pf5_Day5_Uninfected	5	Uninfected	L3
L2Pf5_Day5_Uninfected	SRR22516014	L2Pf5_Day5_Uninfected	5	Uninfected	L2
L3Pf4_Day4_Infected_rep1	SRR22516015	L3Pf4_Day4_Infected	4	Infected	L3
L3Pf4_Day4_Infected_rep2	SRR22516016	L3Pf4_Day4_Infected	4	Infected	L3
L2Pf4_Day4_Infected_rep1	SRR22516017	L2Pf4_Day4_Infected	4	Infected	L2
L2Pf4_Day4_Infected_rep2	SRR22516018	L2Pf4_Day4_Infected	4	Infected	L2
L1Pf4_Day4_Infected_rep1	SRR22516019	L1Pf4_Day4_Infected	4	Infected	L1
L1Pf4_Day4_Infected_rep2	SRR22516020	L1Pf4_Day4_Infected	4	Infected	L1
L3Pf3_Day4_Uninfected	SRR22516021	L3Pf3_Day4_Uninfected	4	Uninfected	L3
L2Pf3_Day4_Uninfected_rep1	SRR22516022	L2Pf3_Day4_Uninfected	4	Uninfected	L2
L2Pf3_Day4_Uninfected_rep2	SRR22516023	L2Pf3_Day4_Uninfected	4	Uninfected	L2
L1Pf3_Day4_Uninfected_rep1	SRR22516024	L1Pf3_Day4_Uninfected	4	Uninfected	L1
L1Pf3_Day4_Uninfected_rep2	SRR22516025	L1Pf3_Day4_Uninfected	4	Uninfected	L1
L3Pf2_Day2_Infected_rep1	SRR22516026	L3Pf2_Day2_Infected	2	Infected	L3
L3Pf2_Day2_Infected_rep2	SRR22516027	L3Pf2_Day2_Infected	2	Infected	L3
L2Pf2_Day2_Infected_rep1	SRR22516028	L2Pf2_Day2_Infected	2	Infected	L2
L2Pf2_Day2_Infected_rep2	SRR22516029	L2Pf2_Day2_Infected	2	Infected	L2
L1Pf2_Day2_Infected_rep1	SRR22516030	L1Pf2_Day2_Infected	2	Infected	L1
L1Pf2_Day2_Infected_rep2	SRR22516031	L1Pf2_Day2_Infected	2	Infected	L1
L3Pf1_Day2_Uninfected	SRR22516032	L3Pf1_Day2_Uninfected	2	Uninfected	L3
L2Pf1_Day2_Uninfected_rep1	SRR22516033	L2Pf1_Day2_Uninfected	2	Uninfected	L2
L2Pf1_Day2_Uninfected_rep2	SRR22516034	L2Pf1_Day2_Uninfected	2	Uninfected	L2
L1Pf1_Day2_Uninfected	SRR22516035	L1Pf1_Day2_Uninfected	2	Uninfected	L1
L1PfM2_Day6_Control	SRR22516036	L1PfM2_Day6_Control	6	Control	L1
L1PfM1_Day2_Control	SRR22516037	L1PfM1_Day2_Control	2	Control	L1
L1Pf7_Day0_Control	SRR22516038	L1Pf7_Day0_Control	0	Control	L1
