sample.ID \\ Descriptors	SRA.ID.s.	label	growth_media
GSM6758342	SRR22428710	Yeast extract Glycerol	Yeast extract Glycerol
GSM6758343	SRR22428723	Yeast extract Glycerol	Yeast extract Glycerol
GSM6758344	SRR22428722	Yeast extract Glycerol	Yeast extract Glycerol
GSM6758345	SRR22428721	Glucose	Glucose
GSM6758346	SRR22428720	Glucose	Glucose
GSM6758347	SRR22428719	Glucose	Glucose
GSM6758348	SRR22428718	Sucrose	Sucrose
GSM6758349	SRR22428717	Sucrose	Sucrose
GSM6758350	SRR22428716	Sucrose	Sucrose
GSM6758351	SRR22428709	Xylose	Xylose
GSM6758352	SRR22428708	Xylose	Xylose
GSM6758353	SRR22428707	Xylose	Xylose
GSM6758354	SRR22428706	Mannitol	Mannitol
GSM6758355	SRR22428705	Mannitol	Mannitol
GSM6758356	SRR22428704	Mannitol	Mannitol
GSM6758357	SRR22428703	Galactose	Galactose
GSM6758358	SRR22428702	Galactose	Galactose
GSM6758359	SRR22428701	Galactose	Galactose
GSM6758360	SRR22428700	MMZt N+SAHA	MMZt N+SAHA
GSM6758361	SRR22428699	MMZt N+SAHA	MMZt N+SAHA
GSM6758362	SRR22428698	MMZt N+SAHA	MMZt N+SAHA
GSM6758363	SRR22428697	MMZt N+TSA	MMZt N+TSA
GSM6758364	SRR22428696	MMZt N+TSA	MMZt N+TSA
GSM6758365	SRR22428695	MMZt N+TSA	MMZt N+TSA
GSM6758366	SRR22428694	YPD	YPD
GSM6758367	SRR22428693	YPD	YPD
GSM6758368	SRR22428692	YPD	YPD
